created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Jan 09 23:59:51 +0000 2024,1744871638972379237,"Inilah kalau memilih org2 yg menjadi pecundang.  Apa guna anggaran triliunan hanya membuat program gagal... Bicara katanya ada program pangan yg berhasil Mana ??? Proyek Food Estate Jokowi Disebut Anies Gagal, Mentan Buka Suara https://t.co/djGfXccnZR",0,0,0,0,in,1608442994327445507,1744871638972379237,ZetAbe3,https://twitter.com/ZetAbe3/status/1744871638972379237
Tue Jan 09 23:59:48 +0000 2024,1744871627542991224,"@zarryhendrik mohon maaf ini footage ga sinkron dgn percakapannya kah? 🙏 seingat saya ini percakapan di sesinya anies-ganjar, prabowo ga diajak...",1,0,0,0,in,182732748,1744305761436766573,Ichlas_Satya,https://twitter.com/Ichlas_Satya/status/1744871627542991224
Tue Jan 09 23:59:39 +0000 2024,1744871588745679149,"@liputan6dotcom Dengki ma yg begini tolol kuadrat,kaya ? Pak Anies lebih dr cukup. mertuanya jatuh dari kekuasaan malah ngilang,muncul ikut pemilu dg lawan politik mertuanya, kurang hianat apa coba ? 2x pilpres pilih dia karena cendananya. Sampai saat ini saya masih respek ma kel cendana...",0,0,0,0,in,2397268141,1744611234329375013,nurabiram,https://twitter.com/nurabiram/status/1744871588745679149
Tue Jan 09 23:59:26 +0000 2024,1744871535591268773,@popomsarpopom @madarkham Semua ?? Jakarta mana itu 🤣 Bukannya sebagian besar di Jakarta dukung pak Anies yaa 🗿,0,0,1,1,in,1325135928633958401,1744654601872384068,RaaArmy97,https://twitter.com/RaaArmy97/status/1744871535591268773
Tue Jan 09 23:59:21 +0000 2024,1744871513176809876,"@sadoellah01 @adangsetiadana @Hasbil_Lbs @aniesbaswedan Wkwk ini nih orang dongo, hoax drimananya 340rb itu? Dia bilang dia ngutip jokowi loh brrti lu bilang jkt hoax?  Kalopun salah kenapa malah bangga nambah 160rb hektar yg di sebut anies 340rb sja dan bilang hoax 🤣 bangga klean? Sdh bilangnya itu tanah rakyat tanah negara lgi",0,2,0,3,in,1145833291,1744663337483620512,meteorkebun,https://twitter.com/meteorkebun/status/1744871513176809876
Tue Jan 09 23:59:17 +0000 2024,1744871495409848617,Sydney 10 Januari 2024 https://t.co/lUpyOhhw81 https://t.co/tnQogCMJUf #semuaorang  CES 2024 dan Anies PT TMI AyahBOWO AdalahKITA https://t.co/Yf0BY1YA4O,0,0,0,0,in,1683759542595887104,1744871495409848617,yollaamanda45,https://twitter.com/yollaamanda45/status/1744871495409848617
Tue Jan 09 23:59:04 +0000 2024,1744871440313368724,"@info_beragam Kasihan sih lihat pak bowo nangis pasti sakit hati aplagi yg bilang itu adl mantan orang yg pernah didukungnya, tapi kalau ingin jadi presiden harus punya mental kuat, itu baru di sindir pa anies dan pak ganjar loh, apalagi nanti kalau jadi presiden",0,1,0,7,in,182688310,1744621558726045899,sazervisuel,https://twitter.com/sazervisuel/status/1744871440313368724
Tue Jan 09 23:58:40 +0000 2024,1744871342707810453,@ainunnajib Berarti sebenarnya demokrat dan lurah sudah lama sekongkol untuk menjegal anies. Maka nya jika mahmud mau jadi pasangan anis maka demokrat pasti keluar dan menuduh pemerintah. Padahal mereka sudah sekongkol. Berarti demokrat vs moeldoko cuma gimmick aja.,0,0,1,9,in,1663140641801641985,1744715731613429826,juli43684_12,https://twitter.com/juli43684_12/status/1744871342707810453
Tue Jan 09 23:58:33 +0000 2024,1744871310336069755,"Capres yg Ganteng beneran, debat beneran dan menang beneran, #GanjarPranowo  #GanjarMahfudSatset #GanjarMahfud2024 #GanjarMahfudPilihanRakyat  #GanjarMahfud2024 Ganjar-Mahfud Menang #DebatCapres Gaza Menhan Prabowo Anies https://t.co/8CyQ1Geq69",0,0,0,0,in,1701512721618141184,1744871310336069755,Proganjarsumbar,https://twitter.com/Proganjarsumbar/status/1744871310336069755
Tue Jan 09 23:58:30 +0000 2024,1744871299770691884,@kompascom Pak anies kesel ya dicopot jabatan ama pak presiden aowkaowkaowkao,0,0,0,0,in,1267059819543855104,1744535481571004643,sall_salty,https://twitter.com/sall_salty/status/1744871299770691884
Tue Jan 09 23:58:18 +0000 2024,1744871249430622316,"@husain_fahasbu Pak Mahfud juga tau   Kalau dia gabung anies,  2 calon dr luar Parpol bakal susah juga menangnya 🫣",0,0,0,0,in,1444625735298129924,1744662428473000103,BosNaja74,https://twitter.com/BosNaja74/status/1744871249430622316
Tue Jan 09 23:58:05 +0000 2024,1744871196225884390,Paslon #GanjarPranowo dan #mahfudmd paling bijak dan berkelas  #GanjarMahfudSatset #GanjarMahfud2024 #GanjarMahfudPilihanRakyat  #GanjarMahfud2024 Ganjar-Mahfud Menang #DebatCapres Gaza Menhan Prabowo Anies https://t.co/opY4hOwAhx,0,0,0,0,in,1701512721618141184,1744871196225884390,Proganjarsumbar,https://twitter.com/Proganjarsumbar/status/1744871196225884390
