created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Jan 09 23:59:50 +0000 2024,1744871634572357671,Ganjar Mahfud Hebat #Coblos3 #GanjarMahfudM3nangDebat #3GM #DebatCapres      Oh https://t.co/xsGmyTS7KH,0,0,0,0,in,309689060,1744871634572357671,kiklnwza01,https://twitter.com/kiklnwza01/status/1744871634572357671
Tue Jan 09 23:59:48 +0000 2024,1744871627542991224,"@zarryhendrik mohon maaf ini footage ga sinkron dgn percakapannya kah? 🙏 seingat saya ini percakapan di sesinya anies-ganjar, prabowo ga diajak...",1,0,0,0,in,182732748,1744305761436766573,Ichlas_Satya,https://twitter.com/Ichlas_Satya/status/1744871627542991224
Tue Jan 09 23:59:45 +0000 2024,1744871612950962630,"@abeearief @LOVE_UM4M4 Mana fotonya, mana rekamannya lu bisa nongkrong bareng bareng Budiman di hotel mulia dan dia minta duit dari elu? Muke elu itu muke buzzer bayaran Ganjar, si politisi goblog",1,1,0,0,in,1625004038860460033,1744864285204078688,bbong6726,https://twitter.com/bbong6726/status/1744871612950962630
Tue Jan 09 23:59:42 +0000 2024,1744871600087081176,@Melihat_Indo Semangat terus untuk selalu berjuang pak Ganjar Karan ini awal yang sangat baik,0,0,0,0,in,1589769355868655617,1744535769606509051,RinaAng13,https://twitter.com/RinaAng13/status/1744871600087081176
Tue Jan 09 23:59:42 +0000 2024,1744871600070271220,@hasyimmah Anda salah. Pendukung Jokowi yg komit pd demokrasi &amp  konstitusi berpihak pd GANJAR - MAHFUD. Rakyat sdhcerdas tdk bisa dibodohi dgn narasi² pembodohan spt ini. Rakyat tau siapa yg BERKHIANAT pd partainya. Rakyat tau siapa yg MERUSAK DEMOKRASI &amp  KONSTITUSI melalui MK Om USMAN.,0,0,0,0,in,938712313657303041,1744627763167072722,nakula2801,https://twitter.com/nakula2801/status/1744871600070271220
Tue Jan 09 23:59:36 +0000 2024,1744871577957925140,@Melihat_Indo Performa pak Ganjar kemaren memang patut di apresiasi dan perlu acungan jempol,0,0,0,0,in,1703921868364009472,1744535769606509051,ellasha21,https://twitter.com/ellasha21/status/1744871577957925140
Tue Jan 09 23:59:36 +0000 2024,1744871574199472413,Ganjar Mahfud Hebat #Coblos3 #GanjarMahfudM3nangDebat #3GM #DebatCapres Yeeess https://t.co/7zDtGjRluU,0,0,0,0,in,361580504,1744871574199472413,laicabudlong,https://twitter.com/laicabudlong/status/1744871574199472413
Tue Jan 09 23:59:34 +0000 2024,1744871567316971713,"@Melihat_Indo Keren pak ganjar, gasspoll disisa waktu yang ada",0,0,0,0,in,1718530216392572928,1744535769606509051,zoropororoo,https://twitter.com/zoropororoo/status/1744871567316971713
Tue Jan 09 23:59:33 +0000 2024,1744871562019279075,Ganjar Mahfud Hebat #Coblos3 #GanjarMahfudM3nangDebat #3GM #DebatCapres      Oh https://t.co/BUY4zgzlDS,0,0,0,0,in,1665261524,1744871562019279075,kristiegovender,https://twitter.com/kristiegovender/status/1744871562019279075
Tue Jan 09 23:59:29 +0000 2024,1744871547167560130,@Generasi_MudaNU Ganjar juga berhasil menonjolkan visi dan programnya dengan detail yang kuat.,0,0,0,0,in,1710467678975184896,1744282443295981665,lee_eunbi88,https://twitter.com/lee_eunbi88/status/1744871547167560130
