created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Jan 09 23:59:55 +0000 2024,1744871657221791969,@MrDesperate1 @tvOneNews @prabowo @Dahnilanzar Menghancurkan rezim @jokowi @prabowo sangat mudah dengan tidak mencoblos prabowo gibran itu sudah menyematkan indonesia.,0,0,0,0,in,1102781306,1744698501500662023,ZaemKribo,https://twitter.com/ZaemKribo/status/1744871657221791969
Tue Jan 09 23:59:53 +0000 2024,1744871647344201743,"@Gerindra @prabowo @erickthohir @indra_sjafri semangat beraktivitas, Prabowo Gibran akan selalu diingat sepanjang masa",0,0,0,1,in,1686964253180432384,1744543122871423164,usernadeva,https://twitter.com/usernadeva/status/1744871647344201743
Tue Jan 09 23:59:50 +0000 2024,1744871632890646623,@tvOneNews mas Gibran memang keren dan sangat luar biasa,0,0,0,0,in,1723172533766352896,1744615547336311091,Sanghiyang98137,https://twitter.com/Sanghiyang98137/status/1744871632890646623
Tue Jan 09 23:59:40 +0000 2024,1744871594680586408,"@Beritasatu Gibran adalah sosok yang tidak hanya pandai dalam politik, tetapi juga memiliki bakat luar biasa dalam olahraga! Prestasinya dalam mini soccer membuktikan bahwa ia adalah pemimpin yang berbakat dan berdedikasi dalam segala hal!",0,0,0,0,in,1724622234608914432,1744495500026650694,triam856,https://twitter.com/triam856/status/1744871594680586408
Tue Jan 09 23:59:40 +0000 2024,1744871592155611241,@gibran_tweet @RaffiAhmadLagi Keren bngt si pake kaos samsul,0,0,0,0,in,2950491768,1744598332960547162,amujib97,https://twitter.com/amujib97/status/1744871592155611241
Tue Jan 09 23:59:39 +0000 2024,1744871589286748320,@bengkeldodo @alextham878 @Alexemeru @AKU_dgn3putra @aji_lembu @AditBandit234 @adi_sareang @Abaaah @AchmadShonnyArc @Ndons_Back @Bank_Joee_ Nebeng. Ada acara Gibran datang temui warga??? Brp yg datang?,0,0,0,8,in,1537213103397830656,1744770808797700348,SemutMerah2024,https://twitter.com/SemutMerah2024/status/1744871589286748320
Tue Jan 09 23:59:05 +0000 2024,1744871446168682988,@Beritasatu Keterampilan Gibran dalam mini soccer adalah bukti bahwa ia adalah atlet yang memiliki potensi besar! Ia mampu memimpin timnya menuju kemenangan dengan kepiawaian dan kecerdasannya!,0,0,0,0,in,750512361140654080,1744495500026650694,oilewy,https://twitter.com/oilewy/status/1744871446168682988
Tue Jan 09 23:58:47 +0000 2024,1744871370528641060,"cok gue sebenernya sedih kalo inget ada orang bergelar doktor, kandidat atau udah dapet phd, dan banyak orang orang pinter multibidang lainnya yang ada di sisi prabowo-gibran. seterkurung apa ya batin manusia dan nalar logikanya... but yeaa thats politic baby",0,0,0,1,in,1296292454979604483,1744871370528641060,daewithoutnerys,https://twitter.com/daewithoutnerys/status/1744871370528641060
Tue Jan 09 23:58:40 +0000 2024,1744871339167768936,@Beritasatu Keahlian Gibran dalam bermain mini soccer sungguh menakjubkan! Ia adalah pemain yang penuh talenta dan mampu memberikan kontribusi besar dalam pertandingan!,0,0,0,0,in,749798749640110080,1744495500026650694,clokvs,https://twitter.com/clokvs/status/1744871339167768936
Tue Jan 09 23:58:38 +0000 2024,1744871334528930205,"@cuitcuap_ Saya dari 2014 dukung dan pilih Prabowo...2024 ini juga dukung Prabowo,namun ketika gibran yang jadi wakilnya,saya berubah haluan..antara 01 atau 03. Rasional...",0,1,0,2,in,1533834080,1744613900052738178,ratno_willist,https://twitter.com/ratno_willist/status/1744871334528930205
