created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Jan 09 23:41:51 +0000 2024,1744867107060510809,"Said Aqil: Saya Simpati ke Anies-Muhaimin, Ingin Tahu Perjuangannya https://t.co/ViHvoRv7O8",1,6,153,463,in,65409203,1744867107060510809,zainul_munas,https://twitter.com/zainul_munas/status/1744867107060510809
Tue Jan 09 23:40:38 +0000 2024,1744866801287307484,"Tidak jelas! Sebab baik partai pendukung Ganjar-Mahfud dan Anis-Muhaimin dalam catatan sejarahnya, mereka lah yang turut merehabilitasi nama baik Prabowo. Biar bisa jadi anggota partai, mendirikan partai, hingga CAWAPRES &amp  CAPRES.",0,0,0,0,in,1217131604297961472,1744866561628962849,abimashalnahdan,https://twitter.com/abimashalnahdan/status/1744866801287307484
Tue Jan 09 23:38:56 +0000 2024,1744866373497713027,"Puan Maharani terlihat sumringah ketemu Paslon Anies Muhaimin usai Debat Capres, pertanda bakal bersatu pada putaran kedua? #Puanmaharani #DebatCapres #AniesMuhaimin2024 #Kebangun #Bayar  https://t.co/JDQnidFjGZ",0,0,0,0,in,1019728756192100352,1744866373497713027,ebyfaiz,https://twitter.com/ebyfaiz/status/1744866373497713027
Tue Jan 09 23:21:00 +0000 2024,1744861862758686744,"@Yurissa_Samosir @AdamVelcro @AdeDhani9 @AkalSehat2024 @aking_adit @chaidar_2000 @Kang_Toniee @NohCeukenohhh @choymarkochoy @RidNgemil Yook kita dengan sejuk, jangan menambah ruwet dan panas diarus bawah. Yg atas Insyaallah akan terselesaikan dg kearifan. Terpenting bisa memahamkan pada semua, bahwa arus perubahan itu keniscayaan dan keharusan. Itu akan berja dan berhasil dg digawangi ANIES-MUHAIMIN. 🌹",0,0,0,1,in,1425686812396163072,1744637103517188296,Fbr24734588,https://twitter.com/Fbr24734588/status/1744861862758686744
Tue Jan 09 23:17:56 +0000 2024,1744861092092981345,@rachlannashidik Kalo sempat Prabowo jd presiden mungkin para pendukungnya hari ini akan mengutuk dirinya sendiri kelak. Maka kita aminkan saja dulu. Anies Muhaimin presiden RI 2024.,0,0,0,0,in,1444604407228682248,1744840069263843469,menang2024,https://twitter.com/menang2024/status/1744861092092981345
Tue Jan 09 23:16:32 +0000 2024,1744860736550252690,@rachlannashidik Orang yg super haus kuasa kek pak Prabowo sangat berbahaya kalo dikasi kekuasan. bisa2 dia lampiaskan semuanya kalo dia mendptkan kekuasaan itu sendiri. Maka pilihan tepat adalah Anies Muhaimin sebagai presiden RI 2024.,0,0,0,0,in,1444604407228682248,1744840069263843469,menang2024,https://twitter.com/menang2024/status/1744860736550252690
Tue Jan 09 23:15:15 +0000 2024,1744860415048507791,@cakimiNOW Ya Allah takdirkanlah Anies dan Muhaimin memimpin negara ini ya Allah. Aamiin,0,0,0,0,in,162904440,1744708499261804599,prisdiminggo,https://twitter.com/prisdiminggo/status/1744860415048507791
Tue Jan 09 23:13:34 +0000 2024,1744859990727553049,"Assalamualaikum Wr Wb Semoga kebaikan Keberkahan u/ kita semua, Amiiin  Rabu, 10 Jan 2024 5 pekan kedepan pemilihan presiden  Tetap ikhtiar mengenalkn, mengajak, mendukung dn memilih Anies - Muhaimin  Kita bersama #AMIN2024 #TeamElangPutih   @SOBAT_ANIES  @naaooollll  @BosPurwa https://t.co/SYrn29EBYJ",0,0,5,8,in,1100377447948677121,1744859990727553049,anugrahrizky_1,https://twitter.com/anugrahrizky_1/status/1744859990727553049
Tue Jan 09 23:09:13 +0000 2024,1744858898178376052,Ini kata KH. Ali Agus Masyhuri. Yang cerdas itu Anies tapi yang menang Prabowo. Kalau yang mbulet itu Muhaimin. Kalau mau marah jangan ke saya ya tapi ke KH Ali aja langsung https://t.co/DVPYlTt3cJ,13,53,41,110,in,82042655,1744858898178376052,panca66,https://twitter.com/panca66/status/1744858898178376052
Tue Jan 09 23:00:00 +0000 2024,1744856575234408876,"@hasyimmah @ranggavega semuanya sama sja,,di anis ada muhaimin, di ganjar ada mahfud,sisi lain ada prabowo  gib,, semuanya masih di pemerintahan, karena jokowi merevisi peraturan,,intinya klo semua di tarik benang merahnya jokowi yg paling bertanggung jawab, mrk semua bawahannya,,hasil perkosa undang"";0;0;0;0;in;1177095263158075394;1744627763167072722;fathur53162162;https://twitter.com/fathur53162162/status/1744856575234408876
Tue Jan 09 22:57:21 +0000 2024;1744855908646302207;Untuk Kita semua , terutama Gen-Z Monggo di cermati untuk bekal yakin nya kita datang ke TPS di Hari Kasih Suara 14 Februari 2024 untuk memilih pasangan AMIN Anies-Muhaimin 🙏 #AMINAjaDulu #AMINkanIndonesia #AminPalingSiapUntukIndonesia https://t.co/DO2utA3BuD""",0,0,5,10,in,1199772596,1744855908646302207,sumadiseloguno,https://twitter.com/sumadiseloguno/status/1744855908646302207
Tue Jan 09 22:49:36 +0000 2024,1744853960220098875,@dhemit_is_back Dekat ulama ya gus muhaimin atau paling gak ya pak mahfud. .,0,0,0,1,in,1736453324583698432,1744505821411831909,Detektifarwah,https://twitter.com/Detektifarwah/status/1744853960220098875
Tue Jan 09 22:44:04 +0000 2024,1744852566666838122,@Raja_Ndablek @DokterTifa @aniesbaswedan Bismillah pilih Anis-Muhaimin,0,0,0,2,in,1496718618729476099,1744694089029947625,Widodo53433877,https://twitter.com/Widodo53433877/status/1744852566666838122
Tue Jan 09 22:40:48 +0000 2024,1744851746646790192,@abu_waras Yang waras pilih Anis. Tgl 14 Februari 2024 coblos nomor 1 Anis-Muhaimin,0,0,0,0,in,1496718618729476099,1744576587251716136,Widodo53433877,https://twitter.com/Widodo53433877/status/1744851746646790192
Tue Jan 09 22:33:08 +0000 2024,1744849816117772580,@ernestprakasa Lah.. kemana aje ente bang. Makanya negara ini butuh perubahan.. Solusi terbaik saat ini adalah Anies - Muhaimin  #AMINAjaDulu,0,0,0,0,in,809248975148621824,1744552100359758309,emje78,https://twitter.com/emje78/status/1744849816117772580
Tue Jan 09 22:16:38 +0000 2024,1744845661479264738,Pesen Bulik aja kagetan aja gumunan   Segenap warga Buluspesantren &amp  Kebumen 💫 Sampaikan Aspirasimu di WA 082115966844  #partaiummat #kebumen #buluspesantren #amienrais #capres #anies #muhaimin #caleg #adihamidfuadi #aspirasi  Pilih Hamid Bae https://t.co/lDPg0Bqais,0,0,0,5,in,1474035224484859907,1744845661479264738,Ummat_Kebumen,https://twitter.com/Ummat_Kebumen/status/1744845661479264738
Tue Jan 09 22:02:33 +0000 2024,1744842117690839450,"@AlmaghribiS @prabowo Kampanye tuh ngajak milih orang yg ada isinya om. 2x keok di debat kok malah minta dipilih ckckck ...  Anies, Muhaimin, Ganjar, &amp  Mahfud emangnya bkn negarawan? Ngga amanah? Ngga cinta tanah air? Mereka jg pny itu, &amp  jauh lebih berisi.  Boleh dong saya kasih pendapat? Sorry ye...",0,0,0,2,in,167691852,1744665336329429401,twitkuopiniku,https://twitter.com/twitkuopiniku/status/1744842117690839450
Tue Jan 09 21:52:47 +0000 2024,1744839663125446758,@aniesbaswedan Anies Muhaimin aja dulu untuk.Peresiden 2024,0,0,0,1,in,1610284372892217344,1744724952379801813,lubis_sb,https://twitter.com/lubis_sb/status/1744839663125446758
Tue Jan 09 21:38:15 +0000 2024,1744836002383110257,Pak Anies dan Gus Muhaimin dengan segala kesabarannya:) https://t.co/3IJORmTyZh,0,0,0,0,in,1231423804431204352,1744836002383110257,nabilahciptar,https://twitter.com/nabilahciptar/status/1744836002383110257
Tue Jan 09 21:20:16 +0000 2024,1744831476477333620,"Warga di Kampung Susun Akuarium telah mencopot baliho dan spanduk pasangan calon presiden dan calon wakil presiden nomor urut 01, Anies Baswedan-Muhaimin Iskandar, yang terpajang pada dinding bangunan. https://t.co/Q4VMYmvLkE",0,0,0,1,in,89877164,1744831476477333620,fajaronline,https://twitter.com/fajaronline/status/1744831476477333620
Tue Jan 09 21:18:17 +0000 2024,1744830979687260285,Anies Baswedan-Muhaimin Iskandar apabila Pemilu Presiden dan Wakil Presiden (Pilpres) 2024 harus berjalan dua putaran. RIP LEGEND || Tidur || Nyebokin || Kebangun https://t.co/jAiy5X9m4d,0,0,0,0,in,751590973726089217,1744830979687260285,mustopa_bnm,https://twitter.com/mustopa_bnm/status/1744830979687260285
Tue Jan 09 20:15:19 +0000 2024,1744815134261043466,@dapitnih Anis Baswedan dan Muhaimin Iskandar paling masuk kategori dalam penerimaan menjadi karyawan baru untuk mengurus seluruh rakyat Indonesia,0,0,1,4,in,964129709004013569,1744620100353929285,KaEivan,https://twitter.com/KaEivan/status/1744815134261043466
Tue Jan 09 20:05:30 +0000 2024,1744812663316901955,Anis muhaimin persiden 2024 https://t.co/SV0ppI8jSy,0,0,0,0,in,1651247467751682050,1744812663316901955,roqib_1,https://twitter.com/roqib_1/status/1744812663316901955
Tue Jan 09 20:02:06 +0000 2024,1744811805791420763,"Ketua Umum Partai Kebangkitan Bangsa (PKB) sekaligus cawapres nomor urut 1 Muhaimin Iskandar atau Cak Imin, menargetkan 100 kursi DPR RI dalam Pemilu ... https://t.co/ZiDkSKhfxU",0,0,0,1,in,46693036,1744811805791420763,inilahdotcom,https://twitter.com/inilahdotcom/status/1744811805791420763
Tue Jan 09 19:29:34 +0000 2024,1744803617901879713,"Harapan buat pak anies - muhaimin, semoga menang satu putaran dan menjadi pemimpin amanah",0,0,0,0,in,1538178922558328833,1744803617901879713,Uje012345,https://twitter.com/Uje012345/status/1744803617901879713
