created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Jan 09 23:59:56 +0000 2024,1744871661353173177,@ganjarpranowo @mohmahfudmd memang menjadi harapan yang terbaik bagi segala aktivitas rakyat dalam bidang apapun. membuat rakyat selalu produktif menjalankannya dan menciptkan anak bangsa yang unggul dalam pendidikan,0,0,0,0,in,1706283370966323200,1744647255024689634,Defasafitra1,https://twitter.com/Defasafitra1/status/1744871661353173177
Tue Jan 09 23:59:52 +0000 2024,1744871641619050805,@ganjarpranowo @mohmahfudmd Setuju banget karena pendidikan itu penting banget buat memajukan anak Indonesia,0,0,0,0,in,1672718518096363520,1744585664728064442,edwardputra133,https://twitter.com/edwardputra133/status/1744871641619050805
Tue Jan 09 23:59:51 +0000 2024,1744871639563767899,@ganjarpranowo @mohmahfudmd Tetaplah semangat untuk menjadikan masyarakat sejahtera dan program satu keluarga miskin satu sarjana,0,0,0,0,in,1709138082233282560,1744585664728064442,SitiFat62722929,https://twitter.com/SitiFat62722929/status/1744871639563767899
Tue Jan 09 23:59:49 +0000 2024,1744871628545347892,@ganjarpranowo @mohmahfudmd Guru ngajinya sabar banget ya.. Semoga berkah ilmunya dek,0,0,0,0,in,1722601234660798464,1744647255024689634,Angga2720438289,https://twitter.com/Angga2720438289/status/1744871628545347892
Tue Jan 09 23:59:44 +0000 2024,1744871609813581984,@ganjarpranowo @mohmahfudmd Setuju banget saya Pak pokoknya pendidikan itu akan mempermudah hidup seseorang karena bahkan Tuhan pun berjanji akan mengangkat derajat seseorang yang berilmu,0,0,0,0,in,1707744753134211072,1744585664728064442,manggwpeduli,https://twitter.com/manggwpeduli/status/1744871609813581984
Tue Jan 09 23:59:44 +0000 2024,1744871608664334348,@NeviaFitri @f_fathur @aniesbaswedan @mohmahfudmd Fahrur Rozi bilang bahwa luhut mengatakan capres hnya ada prab vs genjar.,0,1,0,0,in,1460864059939561479,1744822307204595951,javane_center,https://twitter.com/javane_center/status/1744871608664334348
Tue Jan 09 23:59:22 +0000 2024,1744871517802897443,@Melihat_Indo @ganjarpranowo @mohmahfudmd Ya alhamdulillah orang baik makin baik.,0,0,0,0,in,1116946801733423106,1744596129302581590,delArdian_,https://twitter.com/delArdian_/status/1744871517802897443
Tue Jan 09 23:59:21 +0000 2024,1744871511650136217,@ganjarpranowo @mohmahfudmd Guru ngaji di kampung selama ini memberikan pengajaran secara sukarela Pasti akan sangat bersyukur bela negara juga ikut andil,0,0,0,0,in,1699936679434596352,1744647255024689634,Ndawung12,https://twitter.com/Ndawung12/status/1744871511650136217
Tue Jan 09 23:59:16 +0000 2024,1744871489948803289,"@ganjarpranowo @mohmahfudmd Duduk sama rata berdiri tanpa raja, merakyat dan sederhana pak Ganjar Pranowo",0,0,0,0,in,1551777754248388608,1744585664728064442,indadinda103,https://twitter.com/indadinda103/status/1744871489948803289
Tue Jan 09 23:59:15 +0000 2024,1744871487751000115,"Setuju Pak Ganjar-Mahfud @ganjarpranowo @mohmahfudmd bahwa dalam semua aspek sosial politik harus tetap memberikan edukasi bagi masyarakat, terutama yang berbasis data dan fakta. #GanjarMahfud2024  #GanjarMahfudM3nang  #paktelur https://t.co/sgs5cLDwt2",0,0,0,0,in,1477300821138104320,1744871487751000115,ninjarumahan,https://twitter.com/ninjarumahan/status/1744871487751000115
Tue Jan 09 23:59:12 +0000 2024,1744871474245365802,@ganjarpranowo @mohmahfudmd Semangat pak program pak ganjar emang benar2 bisa memajukan bangsa dengan pendidikan,0,0,0,0,in,1672706145604239360,1744585664728064442,malikfirza047,https://twitter.com/malikfirza047/status/1744871474245365802
Tue Jan 09 23:59:07 +0000 2024,1744871453210878173,@Melihat_Indo @ganjarpranowo @mohmahfudmd Ayo sama-sama kita dukung pasangan Ganjar-Mahfud demi Indonesia lebih baik,0,0,0,0,in,2788671468,1744596129302581590,penggiat_sambat,https://twitter.com/penggiat_sambat/status/1744871453210878173
Tue Jan 09 23:59:02 +0000 2024,1744871435011817805,@ponakanronaldo @PandamPamungkas @ganjarpranowo @mohmahfudmd Komentar bodoh,0,0,0,0,in,1431081455204007939,1744250746407952560,theositheooo,https://twitter.com/theositheooo/status/1744871435011817805
