created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Jan 09 23:59:33 +0000 2024,1744871562409553972,"@cobeh2022 ini perlu disebarkan sih, kacau tim nya prabowo gk bisa cari milenial gitu?😄  #AsalBukanPrabowo",0,0,0,0,in,1319086112720080897,1744835647519744378,RoidMuflih,https://twitter.com/RoidMuflih/status/1744871562409553972
Tue Jan 09 23:59:31 +0000 2024,1744871556495634785,"2014, 2019 sya dan keluarga bela prabowo di pilpres, memberikan kepercayaan penuh, simpati dan salut dengan pidatonya yg ber api2 berani mengkritik permerintah, sampe gebrak meja di forum krna marah dengan antek asing,, cuma saya itu sekarang hanya kenangan manis.",0,0,0,0,in,1500386909537071108,1744871556495634785,Erwinmu85534142,https://twitter.com/Erwinmu85534142/status/1744871556495634785
Tue Jan 09 23:59:31 +0000 2024,1744871555216392221,Sebagaimana ku sarankan @prabowo itu sebaiknya jd pencari bakat calon pemimpin nasional sj dgn tangan dinginnya itu dr pd hrs jd capres berkali² toh faktanya gak laku² jg. https://t.co/DV6cJl7aft,0,0,1,1,in,1267817474201841665,1744871555216392221,B4123THT9,https://twitter.com/B4123THT9/status/1744871555216392221
Tue Jan 09 23:59:28 +0000 2024,1744871540527866045,"@Kemhan_RI Pak Prabowo sebenernya CUTI gak sih.? Kemarin kan ada acara kepartaian di Riau , hari kerja. Cuti ngga.?",0,0,0,0,in,1725556034,1744867212736008689,Bro_Lucky86,https://twitter.com/Bro_Lucky86/status/1744871540527866045
Tue Jan 09 23:59:27 +0000 2024,1744871536929264044,@Dahnilanzar @prabowo Ini juga dong sekalian https://t.co/c0cLYdwwbG,0,0,0,0,in,1672613557979217923,1744622083379024206,DiraSulfia72679,https://twitter.com/DiraSulfia72679/status/1744871536929264044
Tue Jan 09 23:59:26 +0000 2024,1744871534244827264,"@msaid_didu @prabowo @aniesbaswedan @ganjarpranowo Orang2 di sekeliling Prabowo serius mendukung apa menelikung sih Ngasi masukan blunder terus Dengan bikin panggung sendiri jd ditertawain se Indonesia, macan jago kandang....",0,0,0,1,in,1565985151246802945,1744644902028521659,d33sisus4nti,https://twitter.com/d33sisus4nti/status/1744871534244827264
Tue Jan 09 23:59:21 +0000 2024,1744871512187007002,"@tvOneNews Tanggunglah,,,biar makin senang Prabowo dan Jokowi kasih 💯% lha, biar tidak usah nyoblos lgsg Lantik saja tuh Mr gemoy dan si anak haram konstitusi. Gmn puas......😂😂😂😂",0,0,0,0,in,1439439524816322570,1744693533137866784,AbryTohamba,https://twitter.com/AbryTohamba/status/1744871512187007002
Tue Jan 09 23:59:16 +0000 2024,1744871490477318600,@B34R24873822 @AmriNugroho_Mba @unilubis @prabowo Yes... kalau ngomong sering ga nyambung dia. Jadi bahan lelucon 1 Amerika Raya,0,0,0,0,in,1668627868790956034,1744579693322662039,RakyatJ03058307,https://twitter.com/RakyatJ03058307/status/1744871490477318600
Tue Jan 09 23:59:14 +0000 2024,1744871485091750282,@Chavesz08 Pendukung prabowo bingung mau ngomong apa wkwkwkwkw,0,0,0,0,in,1698725428595404800,1744543621083431195,Yanuarganip,https://twitter.com/Yanuarganip/status/1744871485091750282
Tue Jan 09 23:59:11 +0000 2024,1744871469723918663,@AdiSupr35324477 @Dahnilanzar @prabowo Gw juga dulu kagum sewaktu ada di barisan pemuda muhamadiah Tapi skrg dah lah... Masuk kedalam kekuasaan gurih kek nya 😁🤣🤣,0,0,0,0,in,1590351531085561858,1744622083379024206,Dpram_Balik,https://twitter.com/Dpram_Balik/status/1744871469723918663
